"Pays","Code ISO 3","Notation S&P"
"Australia","AUS","AAA"
"Canada","CAN","AAA"
"Denmark","DNK","AAA"
"Germany","DEU","AAA"
"Liechtenstein","LIE","AAA"
"Luxembourg","LUX","AAA"
"Netherlands","NLD","AAA"
"Switzerland","CHE","AAA"
"Norway","NOR","AAA"
"Sweden","SWE","AAA"
"European Union","EUE","AA"
"Singapore","SGP","AAA"
"United States","USA","AA+"
"Austria","AUT","AA+"
"Finland","FIN","AA+"
"New Zealand","NZL","AA+"
"Taiwan","TWN","AA+"
"United Arab Emirates","ARE","AA"
"France","FRA","AA-"
"Hong Kong","HKG","AA+"
"Ireland","IRL","AA"
"Qatar","QAT","AA"
"Belgium","BEL","AA"
"Isle of Man","IMN","AA-"
"Macau","MAC","AA-"
"United Kingdom","GBR","AA"
"South Korea","KOR","AA"
"Cayman Islands","CYM","AA-"
"Czech Republic","CZE","AA-"
"Kuwait","KWT","A+"
"Estonia","EST","A+"
"Saudi Arabia","SAU","A+"
"Bermuda","BMU","A+"
"China","CHN","A+"
"Japan","JPN","A+"
"Iceland","ISL","A+"
"Lithuania","LTU","A"
"Slovenia","SVN","AA-"
"Malta","MLT","A-"
"Slovakia","SVK","A+"
"Chile","CHL","A"
"Israel","ISR","A"
"Latvia","LVA","A"
"Poland","POL","A-"
"Portugal","PRT","A"
"Spain","ESP","A"
"Malaysia","MYS","A-"
"Botswana","BWA","BBB+"
"Andorra","AND","A-"
"Croatia","HRV","A-"
"Cyprus","CYP","A-"
"Thailand","THA","BBB+"
"Italy","ITA","BBB"
"Bulgaria","BGR","BBB"
"Philippines","PHL","BBB+"
"Uruguay","URY","BBB+"
"Indonesia","IDN","BBB"
"Peru","PER","BBB-"
"Hungary","HUN","BBB-"
"Kazakhstan","KAZ","BBB-"
"Mexico","MEX","BBB"
"India","IND","BBB-"
"Aruba","ABW","BBB+"
"Colombia","COL","BB+"
"Greece","GRC","BBB-"
"Mauritius","MUS","BBB-"
"Montserrat","MSR","BBB-"
"Romania","ROU","BBB-"
"Panama","PAN","BBB-"
"Oman","OMN","BBB-"
"Paraguay","PRY","BB+"
"Azerbaijan","AZE","BB+"
"Morocco","MAR","BB+"
"San Marino","SMR","BBB-"
"Trinidad and Tobago","TTO","BBB-"
"Serbia","SRB","BBB-"
"Guatemala","GTM","BB"
"Vietnam","VNM","BB+"
"Brazil","BRA","BB"
"Georgia","GEO","BB"
"Macedonia","MKD","BB-"
"Costa Rica","CRI","BB-"
"Dominican Republic","DOM","BB"
"Ivory Coast","CIV","BB"
"South Africa","ZAF","BB-"
"Uzbekistan","UZB","BB-"
"Armenia","ARM","BB-"
"Jamaica","JAM","BB-"
"Jordan","JOR","BB-"
"Albania","ALB","BB"
"Bahamas","BHS","B+"
"Honduras","HND","BB-"
"Namibia","NAM","B+"
"Benin","BEN","BB-"
"Turkey","TUR","BB-"
"Bangladesh","BGD","B+"
"Fiji","FJI","B+"
"Montenegro","MNE","B+"
"Bahrain","BHR","B+"
"Rwanda","RWA","B+"
"Tanzania","TZA","B+"
"Mongolia","MNG","B+"
"Cambodia","KHM","B"
"Nicaragua","NIC","B+"
"Senegal","SEN","B"
"Zambia","ZMB","SD"
"Barbados","BRB","B"
"Uganda","UGA","B-"
"Bosnia and Herzegovina","BIH","B+"
"Cape Verde","CPV","B"
"Kyrgyzstan","KGZ","B-"
"Papua New Guinea","PNG","B-"
"Tajikistan","TJK","B"
"Togo","TGO","B"
"Angola","AGO","B-"
"Chad","TCD","B-"
"Madagascar","MDG","B-"
"Moldova","MDA","B-"
"Solomon Islands","SLB","CCC+"
"St Vincent and the Grenadines","VCT","B-"
"Swaziland","SWZ","B"
"Cameroon","CMR","B-"
"Egypt","EGY","B-"
"Gabon","GAB","CCC"
"Iraq","IRQ","B-"
"Kenya","KEN","B-"
"Nigeria","NGA","B-"
"Congo","COG","B-"
"Maldives","MDV","CCC"
"El Salvador","SLV","B-"
"Tunisia","TUN","CCC+"
"Belize","BLZ","B-"
"Burkina Faso","BFA","CCC+"
"Ecuador","ECU","B-"
"Mozambique","MOZ","CCC+"
"Republic of the Congo","COG","CCC+"
"Bolivia","BOL","CCC+"
"Pakistan","PAK","CCC+"
"Suriname","SUR","CCC+"
"Ethiopia","ETH","SD"
"Laos","LAO","CCC-"
"Mali","MLI","CCC"
"Niger","NER","CCC-"
"Argentina","ARG","CCC"
"Belarus","BLR","C"
"Ghana","GHA","SD"
"Sri Lanka","LKA","SD"
"Ukraine","UKR","SD"
"Venezuela","VEN","C"
"Lebanon","LBN","D"
"Cuba","CUB","C"
"Puerto Rico","PRI","D"