"Country","Code ISO 3","Rating S&P","10Y Bond Yield","Bank Rate","Spread vs Bund","Spread vs T-Note","Spread vs Bank Rate"
"Switzerland","CHE","AAA","0.575%","0.25%","-219.9 bp","-378.7 bp","32.5 bp"
"Japan","JPN","A+","1.559%","0.50%","-121.5 bp","-280.3 bp","105.9 bp"
"Taiwan","TWN","AA+","1.605%","2.00%","-116.9 bp","-275.7 bp","-39.5 bp"
"China","CHN","A+","1.874%","3.10%","-90.0 bp","-248.8 bp","-122.6 bp"
"Thailand","THA","BBB+","2.085%","2.00%","-68.9 bp","-227.7 bp","8.5 bp"
"Denmark","DNK","AAA","2.508%","2.10%","-26.6 bp","-185.4 bp","40.8 bp"
"Singapore","SGP","AAA","2.711%","2.98%","-6.3 bp","-165.1 bp","-26.9 bp"
"Sweden","SWE","AAA","2.768%","2.25%","-0.6 bp","-159.4 bp","51.8 bp"
"Germany","DEU","AAA","2.774%","2.65%","0.0 bp","-158.8 bp","12.4 bp"
"South Korea","KOR","AA","2.841%","2.75%","6.7 bp","-152.1 bp","9.1 bp"
"Morocco","MAR","BB+","2.880%","2.25%","10.6 bp","-148.2 bp","63.0 bp"
"Netherlands","NLD","AAA","2.992%","2.65%","21.8 bp","-137.0 bp","34.2 bp"
"Finland","FIN","AA+","3.024%","2.65%","25.0 bp","-133.8 bp","37.4 bp"
"Vietnam","VNM","BB+","3.033%","4.50%","25.9 bp","-132.9 bp","-146.7 bp"
"Ireland","IRL","AA","3.062%","2.65%","28.8 bp","-130.0 bp","41.2 bp"
"Canada","CAN","AAA","3.118%","2.75%","34.4 bp","-124.4 bp","36.8 bp"
"Croatia","HRV","A-","3.125%","2.65%","35.1 bp","-123.7 bp","47.5 bp"
"Cyprus","CYP","A-","3.154%","2.65%","38.0 bp","-120.8 bp","50.4 bp"
"Austria","AUT","AA+","3.188%","2.65%","41.4 bp","-117.4 bp","53.8 bp"
"Slovenia","SVN","AA-","3.269%","2.65%","49.5 bp","-109.3 bp","61.9 bp"
"Portugal","PRT","A","3.270%","2.65%","49.6 bp","-109.2 bp","62.0 bp"
"Belgium","BEL","AA","3.315%","2.65%","54.1 bp","-104.7 bp","66.5 bp"
"Spain","ESP","A","3.400%","2.65%","62.6 bp","-96.2 bp","75.0 bp"
"Malta","MLT","A-","3.434%","2.65%","66.0 bp","-92.8 bp","78.4 bp"
"France","FRA","AA-","3.466%","2.65%","69.2 bp","-89.6 bp","81.6 bp"
"Lithuania","LTU","A","3.498%","2.65%","72.4 bp","-86.4 bp","84.8 bp"
"Hong Kong","HKG","AA+","3.535%","4.75%","76.1 bp","-82.7 bp","-121.5 bp"
"Slovakia","SVK","A+","3.608%","2.65%","83.4 bp","-75.4 bp","95.8 bp"
"Bulgaria","BGR","BBB","3.630%","2.59%","85.6 bp","-73.2 bp","104.0 bp"
"Greece","GRC","BBB-","3.645%","2.65%","87.1 bp","-71.7 bp","99.5 bp"
"Malaysia","MYS","A-","3.813%","3.00%","103.9 bp","-54.9 bp","81.3 bp"
"Italy","ITA","BBB","3.877%","2.65%","110.3 bp","-48.5 bp","122.7 bp"
"Norway","NOR","AAA","4.113%","4.50%","133.9 bp","-24.9 bp","-38.7 bp"
"Czech Republic","CZE","AA-","4.290%","3.75%","151.6 bp","-7.2 bp","54.0 bp"
"United States","USA","AA+","4.362%","4.50%","158.8 bp","0.0 bp","-13.8 bp"
"Australia","AUS","AAA","4.552%","4.10%","177.8 bp","19.0 bp","45.2 bp"
"Israel","ISR","A","4.581%","4.50%","180.7 bp","21.9 bp","8.1 bp"
"New Zealand","NZL","AA+","4.738%","3.75%","196.4 bp","37.6 bp","98.8 bp"
"Qatar (*)","QAT","AA","4.783%","5.10%","200.9 bp","42.1 bp","-31.7 bp"
"United Kingdom","GBR","AA","4.787%","4.50%","201.3 bp","42.5 bp","28.7 bp"
"Serbia (*)","SRB","BBB-","4.985%","5.75%","221.1 bp","62.3 bp","-76.5 bp"
"Mauritius","MUS","BBB-","5.619%","4.50%","284.5 bp","125.7 bp","111.9 bp"
"Chile","CHL","A","5.760%","5.00%","298.6 bp","139.8 bp","76.0 bp"
"Poland","POL","A-","5.826%","5.75%","305.2 bp","146.4 bp","7.6 bp"
"Bahrain (*)","BHR","B+","5.899%","5.25%","312.5 bp","153.7 bp","64.9 bp"
"Philippines","PHL","BBB+","6.210%","5.75%","343.6 bp","184.8 bp","46.0 bp"
"Perù","PER","BBB-","6.417%","4.75%","364.3 bp","205.5 bp","166.7 bp"
"India","IND","BBB-","6.701%","6.25%","392.7 bp","233.9 bp","45.1 bp"
"Iceland","ISL","A+","6.729%","7.75%","395.5 bp","236.7 bp","-102.1 bp"
"Indonesia","IDN","BBB","7.107%","5.75%","433.3 bp","274.5 bp","135.7 bp"
"Hungary","HUN","BBB-","7.170%","6.50%","439.6 bp","280.8 bp","67.0 bp"
"Romania","ROU","BBB-","7.450%","6.50%","467.6 bp","308.8 bp","95.0 bp"
"Botswana (*)","BWA","BBB+","7.506%","1.90%","473.2 bp","314.4 bp","560.6 bp"
"Namibia","NAM","","9.717%","6.75%","694.3 bp","535.5 bp","296.7 bp"
"Mexico","MEX","BBB","9.806%","9.00%","703.2 bp","544.4 bp","80.6 bp"
"South Africa","ZAF","BB-","10.670%","7.50%","789.6 bp","630.8 bp","317.0 bp"
"Colombia","COL","BB+","11.850%","9.50%","907.6 bp","748.8 bp","235.0 bp"
"Sri Lanka","LKA","SD","11.855%","8.00%","908.1 bp","749.3 bp","385.5 bp"
"Ukraine (*)","UKR","SD","12.110%","15.50%","933.6 bp","774.8 bp","-339.0 bp"
"Bangladesh","BGD","B+","12.415%","10.00%","964.1 bp","805.3 bp","241.5 bp"
"Pakistan","PAK","CCC+","12.622%","12.00%","984.8 bp","826.0 bp","62.2 bp"
"Kenya","KEN","B-","13.510%","10.75%","1073.6 bp","914.8 bp","276.0 bp"
"Brazil","BRA","BB","14.987%","14.25%","1221.3 bp","1062.5 bp","73.7 bp"
"Kazakhstan","KAZ","BBB-","15.000%","16.50%","1222.6 bp","1063.8 bp","-150.0 bp"
"Russia","RUS","NR","15.126%","21.00%","1235.2 bp","1076.4 bp","-587.4 bp"
"Uganda","UGA","B-","17.788%","9.75%","1501.4 bp","1342.6 bp","803.8 bp"
"Nigeria","NGA","B-","19.375%","27.50%","1660.1 bp","1501.3 bp","-812.5 bpm"
"Zambia","ZMB","SD","20.630%","14.50%","1785.6 bp","1626.8 bp","613.0 bp"
"Egypt","EGY","B-","21.162%","27.25%","1838.8 bp","1680.0 bp","-608.8 bp"
"Turkey","TUR","BB-","30.950%","42.50%","2817.6 bp","2658.8 bp","-1155.0 bp"